,pi_ID,bee_ID,Date,Time,LR,distSC,meanAct,meanIBD,meanSpeed,meanX,meanY,medianMinDistToOthers,totalInt,totalIntFrames,trackedFrames,varSpeed,PropBroodTime,PropInactiveTime,PropLarvaeTime,PropNectarTime,PropPupaeTime,PropWaxPotTime,meanBroodDistM,meanEggDistM,meanLarvaeDistM,meanNectarDistM,meanPollenDistM,meanPupaeDistM,meanWaxPotDistM,medianClosesWaxPotDistM,medianClosestBroodDistM
0,raspberrypi,37.0,2023-09-13,12:25:01,Whole,1218.0140403304654,,7.12837911803527,,2593.75,2167.5,5.044129813513362,0,12,1,,0.0,1.0,,0.0,0.0,0.0,1130.6815416313682,,,1286.5042589464513,1294.7746218123896,1130.6815416313682,1015.0490390425106,525.3266546240783,739.0830906936317
1,raspberrypi,110.0,2023-09-13,12:25:01,Whole,191.45481535560305,,2.661375512992896,,1837.25,1039.25,0.8859293878257662,1,14,1,,0.0125,0.9875,,0.0125,0.0125,0.0,331.10195877345376,,,49.66724535628558,1131.0050572450273,331.10195877345376,620.5456976879993,306.3124581725414,98.23074907725787
2,raspberrypi,401.0,2023-09-13,12:25:01,Whole,248.15012072975796,0.4050632911392405,3.230671888336487,5.337101987962553,1741.759375,1466.14375,0.923242422126225,59,972,80,11.60292738680646,1.0,0.0,,0.0,1.0,0.0,376.6408505671514,,,475.14173014390855,1050.4442327945303,376.6408505671514,446.294706573859,281.95849564494813,0.0
3,raspberrypi,402.0,2023-09-13,12:25:01,Whole,225.92202329351227,1.0,3.064359610697936,15.551293389958941,1992.90368852459,1366.2418032786886,1.16800387463983,10,745,61,99.22769385170817,0.7625,0.2375,,0.0,0.7625,0.3375,326.0615175009919,,,340.54518686836843,1048.4533781235318,326.0615175009919,517.2198569051973,222.26852510038213,0.0
4,raspberrypi,404.0,2023-09-13,12:25:01,Whole,703.9491075742953,0.9873417721518988,4.523390946167058,28.73333090349964,1817.78125,1892.9265625,2.1387843826833985,2,972,80,376.77252009617223,0.65,0.0,,0.0,0.65,1.0,676.4714204905849,,,899.219955590087,1071.1080304284696,676.4714204905849,481.3345918830693,0.0,138.30862683995178
5,raspberrypi,406.0,2023-09-13,12:25:01,Whole,259.2151668985479,1.0,3.1929628057799415,8.384456640682114,1564.2083333333333,1288.0,0.9866298825305981,3,76,6,14.516733550652013,0.0375,0.925,,0.0,0.0375,0.0,428.34893337247064,,,416.58248396152584,1108.657378449108,428.34893337247064,519.7315962301695,310.6398851071959,195.31348387035587
6,raspberrypi,407.0,2023-09-13,12:25:01,Whole,207.61391549233014,1.0,2.872306665858819,25.887628184452403,1675.5113636363637,1082.0795454545455,1.0991323110828226,9,285,22,672.3842968247848,0.275,0.725,,0.0875,0.275,0.15,368.21876674562264,,,197.55386660451023,1148.66206895891,368.21876674562264,582.3158901827119,191.7566952382065,149.033678185256
7,raspberrypi,408.0,2023-09-13,12:25:01,Whole,1021.2476270168005,0.0,6.013575644760604,,1347.1455696202531,2136.518987341772,2.7364131672541037,0,965,79,0.08460250828801649,0.0,0.0125,,0.0,0.0,0.0,1025.5098556095422,,,1247.338792420174,1075.256246952203,1025.5098556095422,725.3915154379578,297.20884702807655,548.904489739802
8,raspberrypi,409.0,2023-09-13,12:25:01,Whole,799.2379895661185,0.0759493670886076,5.414175009962865,3.730995405589299,1448.4125,520.25,1.864673669067047,14,972,80,1.004804685293407,0.0,0.0,,0.0,0.0,1.0,719.5557103060337,,,469.1247565658521,1470.872588371999,719.5557103060337,975.2571337215091,118.50400150988602,210.1917498184458
9,raspberrypi,410.0,2023-09-13,12:25:01,Whole,336.09750723817115,0.9743589743589743,3.3823762979048273,14.806705880539031,2024.2800632911392,974.3275316455696,0.6221080414478481,88,965,79,106.2783809415777,0.9125,0.0125,,0.9875,0.9125,0.0,368.32467026388974,,,15.249550158877582,1121.2792267178854,368.32467026388974,712.5464779478373,430.36371421577786,151.22279861894089
10,raspberrypi,411.0,2023-09-13,12:25:01,Whole,419.1085945068957,0.5616438356164384,3.6793150355946405,10.121042191461463,2019.5337837837837,864.956081081081,0.5896075879605148,67,916,74,136.3454472993092,0.925,0.075,,0.925,0.925,0.0,399.63471362049455,,,1.6399229862761773,1158.2975508365505,399.63471362049455,777.7397377827448,470.5937602993482,78.68143481829682
11,raspberrypi,412.0,2023-09-13,12:25:01,Whole,659.3022925812004,0.8734177215189873,4.718073848196561,15.614861799987246,1772.428125,577.490625,1.8065906461044843,14,972,80,261.01087744913343,1.0,0.0,,0.6,1.0,0.225,555.2812096536044,,,207.41817368881985,1342.8686178528646,555.2812096536044,925.1900811227063,291.6619516874208,51.580133804895155
12,raspberrypi,413.0,2023-09-13,12:25:01,Whole,112.7914050295597,1.0,3.027590428562876,30.628047000766998,1751.05,1234.075,1.0351026918271766,31,622,50,873.0327159971206,0.625,0.375,,0.1125,0.625,0.0,338.1920670832864,,,267.46009360289935,1092.4093962893162,338.1920670832864,527.7474633320468,353.3143927436612,45.493259723161586
13,raspberrypi,414.0,2023-09-13,12:25:01,Whole,353.2924720673551,1.0,3.426491758944932,17.25882217115085,2168.5275,1235.4275,1.0657822280896714,22,636,50,185.13361285650987,0.5125,0.375,,0.05,0.5125,0.3625,389.94357096444,,,266.8037676730512,1050.0662145350693,389.94357096444,637.9965416721922,178.1527801618536,148.12745777589944
14,raspberrypi,415.0,2023-09-13,12:25:01,Whole,735.4503373808251,0.0,4.725535709661988,,2503.225,965.96875,2.264586690669666,0,972,80,0.051474598833328764,0.0,1.0,,0.0,0.0,0.0,654.4625555805123,,,400.455319086273,1064.855803728539,654.4625555805123,974.8296056512698,473.9479620223796,310.20191436446953
15,raspberrypi,416.0,2023-09-13,12:25:01,Whole,594.6224767595207,0.34177215189873417,4.567970601623104,19.11664112357279,1274.26875,988.25625,2.3238464989991034,0,972,80,132.54423696135754,0.0,0.0,,0.0,0.0,1.0,643.8458971656185,,,541.4657549129679,1299.036775117922,643.8458971656185,728.4271916481297,111.79711743487731,313.5900676908353
16,raspberrypi,418.0,2023-09-13,12:25:01,Whole,404.8716821302945,0.972972972972973,3.6448224364605575,18.85619778951095,1571.55,1549.01,0.9808951293872267,40,928,75,410.6731404297158,0.8875,0.0625,,0.0,0.8875,0.825,498.4403248556845,,,623.732384812257,1054.4435417164293,498.4403248556845,453.3132067184246,128.1247743151007,112.11831957268907
17,raspberrypi,419.0,2023-09-13,12:25:01,Whole,204.68875566681564,1.0,3.265322084804947,23.78237413304324,1931.046052631579,1164.8092105263158,0.8790787924715522,29,462,38,376.75536173133736,0.4625,0.525,,0.25,0.4625,0.0,350.6155293185111,,,196.07198683740936,1085.8249410667654,350.6155293185111,603.6328269787971,390.3352705281894,18.739420202809256
18,raspberrypi,441.0,2023-09-13,12:25:01,Whole,1422.827789991999,1.0,7.587283617101319,154.01014788728082,2423.1153846153848,2495.028846153846,4.311008591789952,1,171,13,147565.6461575117,0.0125,0.8625,,0.0,0.0125,0.0125,1351.3047642651795,,,1536.7691013921747,1452.8250357683905,1351.3047642651795,1165.508795915616,657.353886033055,939.5167958435354
19,raspberrypi,470.0,2023-09-13,12:25:01,Whole,859.2670030163375,0.3684210526315789,5.156263617544027,55.65946249566306,2596.728260869565,1585.0054347826087,2.8219267268491466,0,301,23,757.5585631060553,0.0,0.7375,,0.0,0.0,0.175,783.6543312598993,,,801.6689755702278,1094.9330904401945,783.6543312598993,866.8340485817461,177.8416258281651,379.7032201977473
20,raspberrypi,17.0,2023-09-13,14:20:01,Whole,1412.6067079452646,,7.681752555505626,,2601.0,2514.25,4.082917805004705,0,11,1,,0.0,1.0,,0.0,0.0,0.0,1419.3773598743826,,,1606.8636187668342,1481.2946494405949,1419.3773598743826,1237.0343969329074,705.7803583484829,976.6650023359357
21,raspberrypi,106.0,2023-09-13,14:20:01,Whole,785.9865141177636,,4.314468442904732,,1888.5,518.75,1.359955639256135,0,14,1,,0.012658227848101266,0.9873417721518988,,0.0,0.012658227848101266,0.0,598.8487784930386,,,212.20518269092926,1344.8330738137402,598.8487784930386,996.5789661581138,391.12070524518845,139.11525455547135
22,raspberrypi,401.0,2023-09-13,14:20:01,Whole,340.9355344929378,0.23076923076923078,3.706250832194325,5.58471019538055,2121.3069620253164,1535.4778481012659,1.688101244295265,0,804,79,9.09223137769874,1.0,0.0,,0.0,1.0,1.0,411.2986906249453,,,526.3648866173896,1040.0643242558199,411.2986906249453,514.1558210913729,56.07943543445283,0.0
23,raspberrypi,402.0,2023-09-13,14:20:01,Whole,484.05115264999455,,3.247825700189083,,2333.75,1160.75,1.3504348282725376,0,12,1,,0.0,1.0,,0.0,0.0,0.0,495.40103837855406,,,318.8656942946943,1047.3058741550103,495.40103837855406,763.2606919093429,234.82648454433087,332.6751115900519
24,raspberrypi,403.0,2023-09-13,14:20:01,Whole,233.99111507954535,,2.8108022712876486,,1642.25,1297.75,0.9251932650561792,1,21,2,,0.02531645569620253,0.9746835443037974,,0.0,0.02531645569620253,0.0,384.8831640115151,,,373.7884428851216,1093.0804039974132,384.8831640115151,504.30392234883595,328.8354895084333,110.57174283985864
