,pi_ID,bee_ID,Date,Time,LR,distSC,meanAct,meanIBD,meanSpeed,meanX,meanY,medianMinDistToOthers,totalInt,totalIntFrames,trackedFrames,varSpeed,PropBroodTime,PropInactiveTime,PropLarvaeTime,PropNectarTime,PropPupaeTime,PropWaxPotTime,meanBroodDistM,meanEggDistM,meanLarvaeDistM,meanNectarDistM,meanPollenDistM,meanPupaeDistM,meanWaxPotDistM,medianClosesWaxPotDistM,medianClosestBroodDistM
0,raspberrypi,127.0,2023-08-18,13:15:01,Whole,1220.1784630733944,,6.780768803164594,,2908.75,1243.0,0.47195063247138686,1,7,1,,0.0,1.0,,0.0,0.0,,902.9650484999225,,,896.980440892338,2089.282312901655,902.9650484999225,,,739.6348519039707
1,raspberrypi,141.0,2023-08-18,13:15:01,Whole,659.2608192109084,0.0,7.113944611240017,,1178.9097222222222,1906.9791666666667,0.7230594676978318,72,473,72,0.04208205791949667,0.0,1.0,,0.0,0.0,,714.8878527423541,,,1076.4976341194779,1007.5122970145808,714.8878527423541,,,581.1473620011109
2,raspberrypi,142.0,2023-08-18,13:15:01,Whole,175.97931027893486,1.0,5.022894854149592,27.68181655652549,1739.978125,1727.671875,1.673904577556711,3,274,40,648.3636152132627,0.4189189189189189,0.47297297297297297,,0.0,0.4189189189189189,,192.13671719998743,,,638.4110794159712,1230.4331750535496,192.13671719998743,,,0.0
3,raspberrypi,144.0,2023-08-18,13:15:01,Whole,347.59963253616274,0.9452054794520548,4.886425913102201,22.622597042207758,2056.9932432432433,1557.418918918919,1.54120501943234,7,484,74,728.6803820047478,1.0,0.0,,0.0,1.0,,137.42562060813367,,,554.7399001409209,1415.2821109185647,137.42562060813367,,,0.0
4,raspberrypi,151.0,2023-08-18,13:15:01,Whole,477.7575739086433,1.0,4.632620214768445,30.942905060622017,2200.0227272727275,1576.1392045454545,1.1554451854008292,7,305,44,877.2814404281513,0.5945945945945946,0.40540540540540543,,0.0,0.5945945945945946,,260.14683527483254,,,511.2485662926429,1524.822413563805,260.14683527483254,,,84.93033061495782
5,raspberrypi,153.0,2023-08-18,13:15:01,Whole,1132.4814705852532,0.0,5.756173157256492,,2843.0033783783783,1306.6925675675675,3.877333673522759,1,484,74,0.04017661343302767,0.0,1.0,,0.0,0.0,,819.7602600397986,,,810.2878025917639,2028.7020206915936,819.7602600397986,,,657.625008761056
6,raspberrypi,154.0,2023-08-18,13:15:01,Whole,301.32412354392363,1.0,5.333818694009695,51.82670524397902,1687.6858108108108,1602.7398648648648,1.598510113545441,3,241,37,1896.910605128827,0.43243243243243246,0.5135135135135135,,0.0,0.43243243243243246,,221.4931773446677,,,759.4738004444209,1192.846404790962,221.4931773446677,,,12.157928746981014
7,raspberrypi,155.0,2023-08-18,13:15:01,Whole,624.5798701625429,0.3695652173913043,5.003497189266133,73.04149270914827,2301.703125,2204.1197916666665,2.844075237635309,0,317,48,3289.4530675181472,0.013513513513513514,0.35135135135135137,,0.5675675675675675,0.013513513513513514,,545.070090685391,,,66.8046130457932,1690.3447884260077,545.070090685391,,,230.00880003733977
8,raspberrypi,157.0,2023-08-18,13:15:01,Whole,799.8731200723023,0.0,7.571863757558423,,1198.8057432432433,2305.7060810810813,1.345976924546135,0,484,74,0.048371853461905805,0.0,1.0,,0.0,0.0,,901.1869548797574,,,1028.2514001720517,1047.7917722130412,901.1869548797574,,,795.1163960881196
9,raspberrypi,159.0,2023-08-18,13:15:01,Whole,701.3595414102165,0.0,7.2353044093171945,,1169.3175675675675,2046.6655405405406,0.7231015192751493,72,484,74,0.08504622175089903,0.0,1.0,,0.0,0.0,,779.3878467483822,,,1061.5471397950205,1013.1373374460811,779.3878467483822,,,683.6466357126722
10,raspberrypi,246.0,2023-08-18,13:15:01,Whole,718.7088369113206,,4.785917280490841,,2549.25,1771.25,2.2612028572845744,0,7,1,,0.0,1.0,,0.0,0.0,,482.98652815570756,,,267.2569755067866,1796.3306537891099,482.98652815570756,,,287.9634045613673
11,raspberrypi,392.0,2023-08-18,13:15:01,Whole,1519.0514451480367,,7.884791683706677,,3136.375,2595.5,4.71928183679383,0,17,2,,0.0,1.0,,0.0,0.0,,1388.0008820593478,,,654.5861649417461,2464.46975881503,1388.0008820593478,,,1193.0030054741533
12,raspberrypi,404.0,2023-08-18,13:15:01,Whole,1368.5081647558873,,7.592741518695562,,1803.75,448.75,5.40918943003218,0,8,1,,0.0,1.0,,0.0,0.0,,1059.4351165344044,,,1665.1885494467444,1396.8977605610676,1059.4351165344044,,,786.1531024747321
13,raspberrypi,425.0,2023-08-18,13:15:01,Whole,1519.350983343521,,8.01178443070429,,3136.5,2595.875,3.8867150539427646,1,15,2,,0.0,1.0,,0.0,0.0,,1388.3345652021146,,,654.8756275366695,2464.6989752815894,1388.3345652021146,,,1193.3291767009725
14,raspberrypi,441.0,2023-08-18,13:15:01,Whole,1040.872458046063,0.0,5.9020682583279545,,2872.5,1789.25,2.4964013084460017,0,83,11,2.2010627935854123e-34,0.0,1.0,,0.0,0.0,,799.2669172327543,,,439.5137194885705,2064.909268974758,799.2669172327543,,,610.3483625916109
15,raspberrypi,470.0,2023-08-18,13:15:01,Whole,1494.2763384136663,,7.856659081078315,,3197.75,2423.25,0.9472051563384973,1,9,1,,0.0,1.0,,0.0,0.0,,1336.7280862677549,,,645.856051804336,2463.899603126043,1336.7280862677549,,,1149.9754463884503
16,raspberrypi,525.0,2023-08-18,13:15:01,Whole,1695.8569822149457,,9.312684196423902,,2820.5,439.0,4.480543874887724,0,7,1,,0.0,1.0,,0.0,0.0,,1342.7595619179956,,,1623.928396460117,2188.516222917451,1342.7595619179956,,,1168.911981523323
17,raspberrypi,669.0,2023-08-18,13:15:01,Whole,1230.832536256735,,7.26642351275345,,2782.25,2599.25,3.696345199871202,0,7,1,,0.0,1.0,,0.0,0.0,,1137.5718375278914,,,373.279142213927,2175.07759532608,1137.5718375278914,,,935.828115005761
18,raspberrypi,110.0,2023-08-18,09:15:01,Whole,1280.9011073529682,,7.488539933096754,,2365.875,575.125,4.490480918870066,0,15,2,,0.0,1.0,,0.0,0.0,,1005.1620865351885,,,1439.27950741607,1771.0012318242698,1005.1620865351885,,,829.7852428185583
19,raspberrypi,141.0,2023-08-18,09:15:01,Whole,656.043314781987,0.0,6.6282520095705575,,1180.0,1906.2607142857144,0.7250897667539122,70,465,70,0.003984190132242316,0.0,1.0,,0.0,0.0,,713.6502955138637,,,1075.601235356103,1007.7442765994412,713.6502955138637,,,579.8798254301253
