,pi_ID,bee_ID,Date,Time,LR,distSC,meanAct,meanIBD,meanSpeed,meanX,meanY,medianMinDistToOthers,totalInt,totalIntFrames,trackedFrames,varSpeed,PropBroodTime,PropInactiveTime,PropLarvaeTime,PropNectarTime,PropPupaeTime,PropWaxPotTime,meanBroodDistM,meanEggDistM,meanLarvaeDistM,meanNectarDistM,meanPollenDistM,meanPupaeDistM,meanWaxPotDistM,medianClosesWaxPotDistM,medianClosestBroodDistM
0,raspberrypi,17.0,2023-09-08,20:15:01,Whole,709.2067219334024,0.0,4.353639348737772,,1260.840909090909,1769.9545454545455,4.06946524008044,1,111,22,0.09965245710593842,0.0,1.0,,0.0,0.0,0.0,976.4308926465418,,,784.5447668507287,1797.1919934831471,976.4308926465418,1082.8440331022166,348.4053819574535,574.7359561551457
1,raspberrypi,106.0,2023-09-08,20:15:01,Whole,955.4593250341408,,5.334375253509698,,1788.0,2625.25,1.11867323110645,0,5,1,,0.0,1.0,,0.0,0.0,0.0,1216.6872278301541,,,418.25778587957427,2403.3867977293767,1216.6872278301541,1398.9299189133753,927.6625325997545,1027.2057800200828
2,raspberrypi,380.0,2023-09-08,20:15:01,Whole,545.9878003716128,0.012658227848101266,4.638875795426421,2.0155644370746373,2021.625,1143.29375,1.525252614705439,0,343,80,0.1750086177762743,1.0,0.0,,0.0,1.0,1.0,364.7184485533281,,,806.4830177918359,1187.9272827380282,364.7184485533281,430.07955773068574,88.27355281567033,0.0
3,raspberrypi,383.0,2023-09-08,20:15:01,Whole,804.260871983426,0.0,4.834468552510083,,1679.0,2438.0,2.4860986854505827,0,343,80,0.04417341103385756,0.0,1.0,,0.0,0.0,0.0,1099.140196345179,,,376.51099212541465,2253.211046182334,1099.140196345179,1274.9143807694231,735.300978697154,854.2010340949187
4,raspberrypi,391.0,2023-09-08,20:15:01,Whole,802.7740693546004,0.0,5.279688357998491,,2159.715625,2465.175,2.4860986854505827,0,343,80,0.047168349535059426,0.0,0.0,,1.0,0.0,0.0,980.7687531966989,,,122.59987633906178,2231.688143411191,980.7687531966989,1173.3296954952264,771.0423255618531,841.0994034631656
5,raspberrypi,393.0,2023-09-08,20:15:01,Whole,749.281680385426,0.0,5.340355155958333,,1792.125,957.3060897435897,1.5251817598121873,0,337,78,0.03545922852423175,0.0,0.025,,0.0,0.0,0.975,607.6722951899753,,,1041.2657701778785,1091.392273501504,607.6722951899753,585.5934794783213,10.582672443672905,200.8335742819045
6,raspberrypi,395.0,2023-09-08,20:15:01,Whole,336.3856119413749,,3.410098978691549,,2187.25,1433.75,0.9913326212253107,1,5,1,,0.0125,0.9875,,0.0,0.0125,0.0125,240.34291732650087,,,504.2833010555702,1381.491247457146,240.34291732650087,424.78828263092896,128.32611748919038,0.0
7,raspberrypi,397.0,2023-09-08,20:15:01,Whole,509.964969939812,0.0,4.797039314508229,,2370.628125,1377.134375,2.1687866180864743,1,343,80,0.06379190156943326,1.0,0.0,,0.0,1.0,1.0,270.28293492168586,,,585.2945448814113,1346.9511156344427,270.28293492168586,408.26102137068244,114.6994041438844,0.0
8,raspberrypi,683.0,2023-09-08,20:15:01,Whole,708.688484443369,,4.352018859977052,,1261.25,1769.0,0.006048830294227943,1,6,1,,0.0,1.0,,0.0,0.0,0.0,975.7289462791052,,,784.5244183310597,1796.2861861215015,975.7289462791052,1082.0726443177987,347.39682514934464,573.7439419865348
9,raspberrypi,17.0,2023-09-08,20:10:01,Whole,839.1567105573836,0.0,4.805783149072736,,1261.0625,1769.8194444444443,4.07085589057831,0,74,18,0.0005540048154766911,0.0,1.0,,0.0,0.0,0.0,976.1794898479817,,,784.3901128117394,1797.0062344580963,976.1794898479817,1082.594998241756,347.9100828944907,574.2314560353827
10,raspberrypi,380.0,2023-09-08,20:10:01,Whole,409.7227150334096,0.6351351351351351,4.610761068505294,67.25541358240996,2274.5333333333333,1856.2616666666668,1.8358358721752308,0,284,75,3920.0784878827726,0.2727272727272727,0.025974025974025976,,0.6493506493506493,0.2727272727272727,0.2987012987012987,587.0496383078727,,,229.5436236811955,1734.0111523638288,587.0496383078727,743.6651031051045,393.46131950361877,489.8220541758577
11,raspberrypi,383.0,2023-09-08,20:10:01,Whole,622.9630697867717,0.0,4.955589257266581,,1679.6298701298701,2437.987012987013,2.479300457221085,0,289,77,0.07352775688166008,0.0,1.0,,0.0,0.0,0.0,1098.8325414524083,,,375.96411448668715,2253.09060112263,1098.8325414524083,1274.6414307738448,735.296162080235,854.061508919516
12,raspberrypi,391.0,2023-09-08,20:10:01,Whole,510.7762772731959,0.0,5.07920508591277,,2159.12012987013,2463.844155844156,1.9776782060636504,0,289,77,0.042447735851642625,0.0,0.0,,1.0,0.0,0.0,979.6004546583214,,,121.30063123670776,2230.5134544289826,979.6004546583214,1172.162317402005,769.7489293690345,839.6086041639699
13,raspberrypi,395.0,2023-09-08,20:10:01,Whole,541.8654983721159,0.0,4.53333216565868,,2183.2195945945946,1427.8175675675675,1.012756975898571,0,152,37,0.06846034075783854,0.4805194805194805,0.5194805194805194,,0.0,0.4805194805194805,0.4805194805194805,239.87756556887166,,,510.16129371642694,1377.2007198981862,239.87756556887166,423.72032994484414,135.39959144456117,0.0
14,raspberrypi,397.0,2023-09-08,20:10:01,Whole,649.7321948737269,0.013157894736842105,5.039343058003432,2.25,2373.465909090909,1380.547077922078,1.1026427971335135,0,289,77,0.1371243914173638,1.0,0.0,,0.0,1.0,1.0,270.5857251187189,,,582.69837874945,1349.529616123698,270.5857251187189,409.1227620606103,112.11797979749464,0.0
15,raspberrypi,414.0,2023-09-08,20:10:01,Whole,829.3249181885936,,4.716604200309325,,1266.5,2000.75,2.6925844708114015,0,14,3,,0.0,1.0,,0.0,0.0,0.0,1079.0807243247314,,,731.1293674738282,1984.1042906566,1079.0807243247314,1205.0301253585371,558.940407886515,759.8422877610086
16,raspberrypi,441.0,2023-09-08,20:10:01,Whole,840.020379633217,,5.300146659940698,,1260.25,1769.5,4.076659261222916,0,5,1,,0.0,1.0,,0.0,0.0,0.0,976.8261460904372,,,785.263094046751,1797.0367167222603,976.8261460904372,1083.1476870815802,348.51252392505563,574.8564871388099
