,pi_ID,bee_ID,Date,Time,LR,distSC,meanAct,meanIBD,meanSpeed,meanX,meanY,medianMinDistToOthers,totalInt,totalIntFrames,trackedFrames,varSpeed,PropBroodTime,PropInactiveTime,PropLarvaeTime,PropNectarTime,PropPupaeTime,PropWaxPotTime,meanBroodDistM,meanEggDistM,meanLarvaeDistM,meanNectarDistM,meanPollenDistM,meanPupaeDistM,meanWaxPotDistM,medianClosesWaxPotDistM,medianClosestBroodDistM
0,raspberrypi,121.0,2023-09-12,10:15:02,Whole,863.3993701698987,,4.426858651345259,,1973.0,907.25,1.5753532902578913,0,9,1,,0.0,0.9871794871794872,,0.01282051282051282,0.0,0.0,739.4545850288862,,,167.72548818006652,1003.6319517033132,739.4545850288862,960.7104759824457,872.2715874889994,304.0973190530517
1,raspberrypi,207.0,2023-09-12,10:15:02,Whole,637.5549656004941,0.8571428571428571,3.849630357538849,17.290294404958633,1626.8125,1389.140625,0.8384403238530753,6,68,8,83.81528280065744,0.10256410256410256,0.8974358974358975,,0.0,0.10256410256410256,0.0,439.90632263785665,,,538.3655288745267,1277.6472703838385,439.90632263785665,456.9970709796924,306.03272140211516,66.7213472188362
2,raspberrypi,420.0,2023-09-12,10:15:02,Whole,266.8730963711817,1.0,3.0364870748551347,55.06095972725197,1994.7467105263158,1561.3157894736842,1.1115153465115062,11,343,38,2606.4356001074825,0.48717948717948717,0.5128205128205128,,0.0,0.48717948717948717,0.05128205128205128,320.9715401227484,,,431.73596635840534,1364.0446557113955,320.9715401227484,410.18718232990653,357.8996339515318,59.5575837912544
3,raspberrypi,421.0,2023-09-12,10:15:02,Whole,406.9643455881096,1.0,3.17839987587646,39.767939754409745,1991.1057692307693,1388.423076923077,1.4619676427314978,8,672,78,1047.5158406197638,1.0,0.0,,0.20512820512820512,1.0,0.0,374.2584305591173,,,267.51152395576446,1248.230421289924,374.2584305591173,530.431903510104,491.43488651470665,0.0
4,raspberrypi,422.0,2023-09-12,10:15:02,Whole,486.61419863397765,1.0,3.3024616931933366,35.05527254836367,1706.325819672131,1561.5348360655737,1.08951838008655,21,542,61,622.2052456541765,0.782051282051282,0.21794871794871795,,0.0,0.782051282051282,0.358974358974359,356.3872280245976,,,589.5451503504102,1385.5005269782905,356.3872280245976,308.464882765105,199.07289390955378,0.0
5,raspberrypi,424.0,2023-09-12,10:15:02,Whole,674.6834228022922,1.0,3.998354944858099,29.596402568981944,1490.736111111111,1626.361111111111,1.0263030234157073,4,86,9,328.50448913721874,0.11538461538461539,0.8846153846153846,,0.0,0.11538461538461539,0.11538461538461539,471.5952667594247,,,783.5725210362027,1463.6763056996906,471.5952667594247,285.1179599208765,130.60502017459555,50.98843052083244
6,raspberrypi,425.0,2023-09-12,10:15:02,Whole,590.2395442432094,1.0,4.157064644182367,3.9503159210154415,2732.826923076923,1850.7307692307693,0.5509189375861155,13,111,13,4.540130761722907,0.16666666666666666,0.8333333333333334,,0.0,0.16666666666666666,0.0,642.5237504373924,,,807.4290438415889,1631.6959110823345,642.5237504373924,932.8420182463011,791.8174160392595,67.24514039793654
7,raspberrypi,426.0,2023-09-12,10:15:02,Whole,449.37090941978124,0.987012987012987,3.893709322234169,25.476488670260153,2461.6955128205127,2002.366987179487,1.4738633065933586,19,672,78,540.0434807531416,1.0,0.0,,0.0,1.0,0.0,533.5687296453693,,,854.6217641270457,1713.3686381738653,533.5687296453693,680.0188957420542,527.0536089088073,67.75137840155398
8,raspberrypi,427.0,2023-09-12,10:15:02,Whole,540.1162117209889,1.0,3.7410296771580374,26.430918032658894,1618.6607142857142,1757.2142857142858,1.2407419470436578,20,608,70,450.3108352638702,0.8974358974358975,0.10256410256410256,,0.0,0.8974358974358975,0.8974358974358975,401.15254976308495,,,782.7634629161175,1537.8351393533972,401.15254976308495,152.78116795920917,0.0,18.71521582877314
9,raspberrypi,428.0,2023-09-12,10:15:02,Whole,572.7501716703747,0.9655172413793104,4.107670304535303,28.277377679199674,2660.5625,1958.1333333333334,1.2200373290501774,21,517,60,925.8903110675062,0.7307692307692307,0.24358974358974358,,0.0,0.7307692307692307,0.0,625.6073852464724,,,865.2266666025578,1704.7635558783309,625.6073852464724,874.1477130106767,724.4703794236809,34.866697919339494
10,raspberrypi,429.0,2023-09-12,10:15:02,Whole,388.97173844023604,0.9464285714285714,3.4469991988295816,23.32886083834033,1809.8318965517242,1917.915948275862,1.480426364202685,5,511,58,618.8004091634857,0.5256410256410257,0.2564102564102564,,0.0,0.5256410256410257,0.7435897435897436,387.9922194905294,,,812.8120645846896,1636.37333695462,387.9922194905294,109.91866735967146,26.28167585374282,155.8840505485142
11,raspberrypi,430.0,2023-09-12,10:15:02,Whole,736.4647006473317,0.11688311688311688,4.948616040050655,4.7147461651025395,2712.051282051282,2228.9647435897436,0.9362030226574127,48,672,78,2.970665878086336,1.0,0.0,,0.0,1.0,0.0,781.799218728478,,,1130.5945682620445,1931.9573285189922,781.799218728478,955.6303022732968,790.5656316662551,151.57596821672485
12,raspberrypi,431.0,2023-09-12,10:15:02,Whole,154.81472769015798,,2.3066248385379406,,2048.25,1636.25,0.5833352093043153,2,10,1,,0.01282051282051282,0.9871794871794872,,0.0,0.01282051282051282,0.0,288.5695167265656,,,457.5384108577817,1409.691544290658,288.5695167265656,366.3585693279022,320.3979565298135,74.38137721178936
13,raspberrypi,432.0,2023-09-12,10:15:02,Whole,689.0167535622523,0.921875,4.038085467251193,25.29186609691646,1771.3346153846153,1181.7365384615384,1.6780465844413963,13,566,65,691.500404312983,0.8333333333333334,0.16666666666666666,,0.07692307692307693,0.8333333333333334,0.0,521.2989935349307,,,331.37534851862046,1139.9170679006552,521.2989935349307,662.6085092327047,557.1791977687304,16.802203294598144
14,raspberrypi,433.0,2023-09-12,10:15:02,Whole,131.58091728817533,1.0,2.8026289071133355,32.24929618786553,2112.82,1872.75,1.3163547529007897,0,246,25,519.558822450382,0.32051282051282054,0.6794871794871795,,0.0,0.32051282051282054,0.16666666666666666,328.6925372457433,,,677.517802387726,1584.6053298108518,328.6925372457433,323.14800847749274,185.51343617902677,18.80944885068
15,raspberrypi,438.0,2023-09-12,10:15:02,Whole,281.73522888839693,1.0,3.081290051028991,31.513841678523356,2257.8125,1501.5,1.0214230164538585,2,31,4,16.56806532192811,0.05128205128205128,0.9487179487179487,,0.01282051282051282,0.05128205128205128,0.0,396.5515499614527,,,303.2824900188033,1321.6008990581481,396.5515499614527,614.2105220819191,528.4259301411332,124.99001304886625
16,raspberrypi,439.0,2023-09-12,10:15:02,Whole,240.2396842731964,0.987012987012987,3.261754850051724,33.85203854191215,2352.951923076923,1694.934294871795,1.7076385541806443,2,672,78,702.1041870565042,1.0,0.0,,0.0,1.0,0.0,393.1864291925581,,,513.3836132434169,1461.9987420590041,393.1864291925581,602.0229838504312,508.1863362167608,38.314074400653155
17,raspberrypi,441.0,2023-09-12,10:15:02,Whole,873.24477439045,0.0,5.777960019957223,,2831.265625,2280.5416666666665,0.7261114341442817,23,220,24,0.01439969136332484,0.0,1.0,,0.0,0.0,0.0,914.7725653519783,,,1233.1854921129523,2003.9235990369252,914.7725653519783,1096.2171929505093,926.1219808527628,258.29207696558285
18,raspberrypi,845.0,2023-09-12,10:15:02,Whole,1251.0414480516267,,6.817599392638416,,2091.25,502.5,3.954285710654369,0,10,1,,0.0,1.0,,0.0,0.0,0.0,1127.924959450782,,,461.50148344475264,918.0888655627987,1127.924959450782,1379.7410151528613,1291.5371688234409,719.4592253542863
19,raspberrypi,190.0,2023-09-12,08:05:01,Whole,1480.7907995374933,,7.86515607890045,,2471.75,2988.25,4.783310763196764,0,8,1,,0.0,1.0,,0.0,0.0,0.0,1300.0767391402107,,,1803.5959837945347,2556.1197444256863,1300.0767391402107,1225.2289069939982,1073.4169314413289,865.4382019490406
20,raspberrypi,207.0,2023-09-12,08:05:01,Whole,427.331619396145,0.9148936170212766,3.4791991978442613,20.569933545031677,1881.9591836734694,1937.158163265306,0.9318620014637335,41,479,49,251.64163912777144,0.5256410256410257,0.3717948717948718,,0.0,0.5256410256410257,0.6282051282051282,374.2731159590709,,,797.6861324425696,1643.4232864407973,374.2731159590709,117.83950017954326,0.0,164.76343568579404
21,raspberrypi,216.0,2023-09-12,08:05:01,Whole,1025.0067933077194,,5.465880626174576,,2325.25,566.25,3.019790977807248,0,11,1,,0.0,1.0,,0.0,0.0,0.0,1110.858864207645,,,397.5658406136608,921.9385667773163,1110.858864207645,1398.2051237611486,1337.9583653940697,764.8955037028891
