,pi_ID,bee_ID,Date,Time,LR,distSC,meanAct,meanIBD,meanSpeed,meanX,meanY,medianMinDistToOthers,totalInt,totalIntFrames,trackedFrames,varSpeed,PropBroodTime,PropInactiveTime,PropLarvaeTime,PropNectarTime,PropPupaeTime,PropWaxPotTime,meanBroodDistM,meanEggDistM,meanLarvaeDistM,meanNectarDistM,meanPollenDistM,meanPupaeDistM,meanWaxPotDistM,medianClosesWaxPotDistM,medianClosestBroodDistM
0,raspberrypi,17.0,2023-08-01,04:00:01,Whole,1443.688189353854,,8.5158316595656,,3107.5,2536.5,5.870850466886112,0,5,1,,0.0,1.0,,0.0,0.0,0.0,1496.7447449745164,,,1542.4647775340259,2165.847148621141,1496.7447449745164,1557.2925915512901,1302.2252462670663,1157.5877498945663
1,raspberrypi,82.0,2023-08-01,04:00:01,Whole,270.42883393183337,1.0,4.481603431298051,14.31080451210239,1952.7875,1425.68125,1.832472425389231,0,222,40,132.86652350017846,0.3,0.5125,,0.0,0.3,0.3,283.26338772773613,,,543.8718908829927,1016.972864534973,283.26338772773613,246.06584549905173,115.17874318188552,99.87995240836949
2,raspberrypi,83.0,2023-08-01,04:00:01,Whole,768.5940576213326,0.05063291139240506,5.767564504391398,2.652507399854117,2687.3125,1480.4421875,2.4633178881131697,0,439,80,0.3518359073699335,0.0,0.95,,0.0,0.0,0.0,832.065362077812,,,1142.4685065602248,1568.6893203314548,832.065362077812,856.1950490822759,684.8180191433461,485.2236981513264
3,raspberrypi,84.0,2023-08-01,04:00:01,Whole,395.9484099318243,1.0,4.427749290297356,13.538193358140495,1962.625,2071.159090909091,1.094575900965428,3,150,22,74.42069931326378,0.2625,0.725,,0.0375,0.2625,0.0,402.6796896402464,,,322.53965336700844,1149.7874285039356,402.6796896402464,449.7905306763435,268.4480992723504,151.97099561298614
4,raspberrypi,85.0,2023-08-01,04:00:01,Whole,345.8897854572979,1.0,4.258176547167324,23.780739289862403,2197.8141025641025,1881.7147435897436,1.1737052284005665,3,248,39,381.37452277650954,0.3875,0.525,,0.0,0.3875,0.225,410.2693022661506,,,565.7979037166457,1254.154666308419,410.2693022661506,453.3605279890098,211.62337915045134,137.0477855200372
5,raspberrypi,86.0,2023-08-01,04:00:01,Whole,293.22461893976464,0.0,4.606781319890335,,2230.9765625,1614.8265625,1.8656138635756676,0,439,80,0.12708063619134577,1.0,0.0,,0.0,1.0,0.0,372.513529127665,,,669.5593878605043,1221.8288948282875,372.513529127665,400.9921112775922,211.57358486241617,47.527084421265876
6,raspberrypi,87.0,2023-08-01,04:00:01,Whole,566.8859735575056,0.10126582278481013,5.403449161957926,2.2201737097491696,1429.215625,1915.1453125,3.5226525588171675,0,439,80,0.38413744689578905,0.0,0.0,,1.0,0.0,0.0,429.1532906844057,,,0.0,853.5683794414099,429.1532906844057,425.8702897098087,349.790457138918,236.36618480364777
7,raspberrypi,91.0,2023-08-01,04:00:01,Whole,1272.632651472776,0.10256410256410256,7.410823606858234,2.8405752213528235,1367.487341772152,2814.2262658227846,4.654589625193141,0,435,79,0.5750176417518874,0.0,0.9,,0.0,0.0,0.0,1180.4589084638985,,,523.5097992452652,1191.952550064266,1180.4589084638985,1215.055461745439,1117.18482906636,925.0411333690455
8,raspberrypi,95.0,2023-08-01,04:00:01,Whole,1251.9138322710646,0.0,8.072533318143204,,741.1730769230769,1337.1153846153845,4.638833158700393,0,89,13,0.11914495255868984,0.0,1.0,,0.0,0.0,0.0,1036.6961827747796,,,621.4811921439751,892.8923597183909,1036.6961827747796,967.690369517858,665.7558160551132,614.6381815628613
9,raspberrypi,99.0,2023-08-01,04:00:01,Whole,1166.028042803171,0.4177215189873418,8.291571827716755,11.140700117160808,2056.0171875,520.690625,5.285507996229668,0,439,80,45.50972094754752,0.0,0.5875,,0.0,0.0,0.0,1103.2865907675662,,,1353.4968095103081,1229.7512836986016,1103.2865907675662,1038.2367430857153,886.5497093488136,879.1529938433746
10,raspberrypi,392.0,2023-08-01,04:00:01,Whole,1350.2056535091747,,7.129234843675668,,1119.375,2748.5,1.3306271987058396,0,13,2,,0.0,0.975,,0.0,0.0,0.0,1231.9798692214717,,,494.89392856863196,1053.0134500416966,1231.9798692214717,1254.9554154783725,1172.262425962813,1005.6654409159297
11,raspberrypi,653.0,2023-08-01,04:00:01,Whole,986.6924388380386,,6.922338668667009,,2315.0,2595.0,5.077049779833487,0,4,1,,0.0,1.0,,0.0,0.0,0.0,1001.8030353070781,,,838.43087045738,1591.3188851143723,1001.8030353070781,1062.889911016719,840.9170248292788,767.714017991541
12,raspberrypi,656.0,2023-08-01,04:00:01,Whole,394.6713382644346,,4.045616578557228,,2115.0,2036.5,0.12889805589446435,2,8,1,,0.0,1.0,,0.0,0.0,0.0,435.4812076815779,,,471.45944196598003,1235.3532305493036,435.4812076815779,484.8747436764543,248.1719393267427,227.86197648539195
13,raspberrypi,987.0,2023-08-01,04:00:01,Whole,976.7553405193078,,6.500709279346495,,2801.25,1210.0,1.5046662944294218,0,8,1,,0.0,1.0,,0.0,0.0,0.0,1025.4965440214048,,,1360.9960610947774,1669.3091754213208,1025.4965440214048,1033.1211489838963,909.736293423034,728.3524727664659
