Date,Time,Video,Tag IDs
2023-08-11,19:46:41.450711,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44cc/230810/125135_665575_001f543e44cc.mp4,"[283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283]"
2023-08-11,19:46:41.435092,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44cc/230810/094928_749087_001f543e44cc.mp4,"[283, 283, 283, 283, 283]"
2023-08-14,13:32:06.990714,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44cc/230810/092345_732212_001f543e44cc.mp4,[821]
2023-08-11,19:46:41.402565,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44cc/230810/092326_734100_001f543e44cc.mp4,"[283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 848, 283, 283, 283, 283, 848]"
2023-08-11,19:46:41.332576,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44cc/230809/163825_999382_001f543e44cc.mp4,"[216, 296]"
2023-08-11,19:46:41.298106,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44cc/230809/152031_349728_001f543e44cc.mp4,"[296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 110, 296]"
2023-08-11,19:46:41.313606,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44cc/230809/161008_189679_001f543e44cc.mp4,"[283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283]"
2023-08-11,19:46:41.275772,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44cc/230809/151937_181001_001f543e44cc.mp4,"[296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 190, 296, 296, 296, 296, 296, 296, 296, 296, 296]"
2023-08-11,19:46:41.349752,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44cc/230809/171616_631200_001f543e44cc.mp4,"[299, 299, 299, 299, 299, 299, 299, 299, 299, 109, 109, 109, 109, 299, 109]"
2023-08-11,19:46:41.253965,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44cc/230809/135741_102817_001f543e44cc.mp4,"[296, 296]"
2023-08-11,19:46:41.200107,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44cc/230808/132333_890397_001f543e44cc.mp4,[379]
2023-08-11,19:46:40.932192,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/134907_400008_001f543e44c5.mp4,[]
2023-08-11,19:46:41.145370,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/140241_768666_001f543e44c5.mp4,[]
2023-08-11,19:46:40.756515,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/123121_534455_001f543e44c5.mp4,"[276, 276]"
2023-08-11,19:46:40.726329,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/114342_717687_001f543e44c5.mp4,"[296, 296, 296, 296, 296, 296]"
2023-08-11,19:46:41.000454,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/135242_899693_001f543e44c5.mp4,"[190, 190]"
2023-08-11,19:46:40.712573,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/114322_715517_001f543e44c5.mp4,[]
2023-08-11,19:46:40.743610,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/122901_540859_001f543e44c5.mp4,[]
2023-08-11,19:46:40.688653,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/094823_061879_001f543e44c5.mp4,"[283, 283]"
2023-08-11,19:46:40.814341,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/133326_959408_001f543e44c5.mp4,"[296, 296, 296, 296, 296]"
2023-08-11,19:46:41.084349,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/135945_566759_001f543e44c5.mp4,[]
2023-08-11,19:46:40.945199,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/135038_899374_001f543e44c5.mp4,"[190, 190, 190]"
2023-08-11,19:46:41.132980,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/140216_767843_001f543e44c5.mp4,[]
2023-08-11,19:46:41.093675,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/140007_575790_001f543e44c5.mp4,[]
2023-08-11,19:46:40.658159,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/080929_414400_001f543e44c5.mp4,"[283, 283, 283, 283]"
2023-08-11,19:46:40.895962,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/134511_561905_001f543e44c5.mp4,[]
2023-08-11,19:46:40.911678,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/134845_374968_001f543e44c5.mp4,[]
2023-08-11,19:46:40.859484,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/133736_760842_001f543e44c5.mp4,[17]
2023-08-11,19:46:41.057901,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/135916_569502_001f543e44c5.mp4,"[190, 190]"
2023-08-11,19:46:40.674960,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/092656_051024_001f543e44c5.mp4,"[283, 276]"
2023-08-11,19:46:41.106400,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/140111_766333_001f543e44c5.mp4,[]
2023-08-11,19:46:40.984902,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/135055_164883_001f543e44c5.mp4,[]
2023-08-11,19:46:41.160426,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/141740_586012_001f543e44c5.mp4,[276]
2023-08-11,19:46:41.045529,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/135611_364998_001f543e44c5.mp4,"[190, 190, 190, 190, 17, 17, 17]"
2023-08-11,19:46:40.780200,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/123631_333099_001f543e44c5.mp4,[17]
2023-08-11,19:46:40.766800,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/123558_331662_001f543e44c5.mp4,[]
2023-08-11,19:46:40.876442,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/134455_562787_001f543e44c5.mp4,"[190, 392]"
2023-08-11,19:46:40.703564,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/103439_478311_001f543e44c5.mp4,[]
2023-08-11,19:46:40.800841,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/123747_537460_001f543e44c5.mp4,[]
2023-08-11,19:46:40.846968,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/133628_562016_001f543e44c5.mp4,[]
2023-08-11,19:46:41.073035,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/135931_568459_001f543e44c5.mp4,[683]
2023-08-11,19:46:41.119309,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/140148_768501_001f543e44c5.mp4,[]
2023-08-11,19:46:40.828392,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/133417_095270_001f543e44c5.mp4,"[296, 296, 296, 296]"
2023-08-11,19:46:41.032693,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230810/135301_963974_001f543e44c5.mp4,[]
2023-08-11,19:46:40.425877,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230809/180153_059510_001f543e44c5.mp4,"[283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283]"
2023-08-11,19:46:40.376522,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230809/051908_321413_001f543e44c5.mp4,[]
2023-08-11,19:46:40.370517,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230809/051643_249942_001f543e44c5.mp4,[]
2023-08-11,19:46:40.411592,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230809/164108_419309_001f543e44c5.mp4,"[296, 296, 296, 296, 296, 296, 296, 296, 296, 296, 296]"
2023-08-11,19:46:40.397888,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230809/052131_323100_001f543e44c5.mp4,[]
2023-08-11,19:46:40.385285,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230809/052045_329719_001f543e44c5.mp4,[]
2023-08-11,19:46:40.392215,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230809/052110_318930_001f543e44c5.mp4,[]
2023-08-11,19:46:40.364647,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230809/051629_244930_001f543e44c5.mp4,[]
2023-08-11,19:46:40.205365,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230807/173710_742613_001f543e44c5.mp4,[]
2023-08-11,19:46:40.297879,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230808/182138_834453_001f543e44c5.mp4,"[299, 431, 299, 299, 299, 299, 299, 299, 299, 299]"
2023-08-14,13:32:51.069416,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230808/152313_961812_001f543e44c5.mp4,[]
2023-08-11,19:46:40.275761,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230808/180442_425306_001f543e44c5.mp4,[]
2023-08-11,19:46:40.309936,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543e44c5/230808/182200_833278_001f543e44c5.mp4,"[299, 299, 299, 299, 299, 299]"
2023-08-11,19:45:28.189264,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543cd78f/230810/140931_090464_001f543cd78f.mp4,"[283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283]"
2023-08-11,19:45:28.156205,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543cd78f/230810/140427_691142_001f543cd78f.mp4,[]
2023-08-11,19:45:27.865496,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543cd78f/230810/094854_774977_001f543cd78f.mp4,"[283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283]"
2023-08-11,19:45:27.804246,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543cd78f/230810/080218_722027_001f543cd78f.mp4,"[283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283]"
2023-08-11,19:45:27.883782,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543cd78f/230810/095825_784217_001f543cd78f.mp4,"[283, 283, 283, 283, 283, 283, 998, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283]"
2023-08-11,19:45:28.131263,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543cd78f/230810/135552_481235_001f543cd78f.mp4,[]
2023-08-11,19:45:27.926809,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543cd78f/230810/104930_999737_001f543cd78f.mp4,"[283, 283, 283, 283, 283, 283, 283, 283, 283, 896, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283]"
2023-08-11,19:45:27.822053,/Users/anupreksha/Desktop/hoophouse2023/flowerPi/aug11backup/videos/001f543cd78f/230810/092706_758355_001f543cd78f.mp4,"[276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276]"
