"bout.ID","x","time.num","direction","bee_ID","round","treatment","microcolony","datetime","deployed_at","day_or_night","total_deployment_time"
"2",-21.2222222222222,8.75034292739161,-1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:00:29.628927,2023-08-08 17:55:01,"day",22.3333333333333
"3",370,8.78353194733875,1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:48:17.16025,2023-08-08 17:55:01,"day",22.3333333333333
"4",49.3333333333333,8.81529682623291,1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-08 19:34:01.645787,2023-08-08 17:55:01,"day",22.3333333333333
"5",178.5,9.02771338440036,1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 00:39:54.436412,2023-08-08 17:55:01,"day",22.3333333333333
"6",20.7142857142857,9.24120049360691,1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 05:47:19.722648,2023-08-08 17:55:01,"day",22.3333333333333
"7",20.3,9.40950065003326,1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 09:49:40.856163,2023-08-08 17:55:01,"day",22.3333333333333
"8",NA,9.58674603518513,NA,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 14:04:54.85744,2023-08-08 17:55:01,"day",22.3333333333333
"9",NA,9.6018610780217,NA,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 14:26:40.797141,2023-08-08 17:55:01,"day",22.3333333333333
"10",-346,9.6629958989416,-1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 15:54:42.845669,2023-08-08 17:55:01,"day",22.3333333333333
"11",NA,9.67561572474462,NA,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 16:12:53.198618,2023-08-08 17:55:01,"day",22.3333333333333
"12",-42.5,9.67858497399749,-1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 16:17:09.741753,2023-08-08 17:55:01,"day",22.3333333333333
"1",-265,8.74873241411223,-1,265,"2","flupyradifurone","2_flupyradifurone",2023-08-08 17:58:10.480579,2023-08-08 17:55:01,"day",22.3333333333333
"2",-11,8.75013937249021,-1,265,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:00:12.041783,2023-08-08 17:55:01,"day",22.3333333333333
"1",38.8333333333333,8.74882723849011,1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-08 17:58:18.673406,2023-08-08 17:55:01,"day",22.3333333333333
"2",-6.5,8.75030436965234,-1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:00:26.297538,2023-08-08 17:55:01,"day",22.3333333333333
"3",-6.71428571428571,8.87724325522436,-1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-08 21:03:13.817251,2023-08-08 17:55:01,"day",22.3333333333333
"4",18.0909090909091,8.97819971055551,1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-08 23:28:36.454992,2023-08-08 17:55:01,"day",22.3333333333333
"5",2.33333333333333,9.08480524995655,1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-09 02:02:07.173596,2023-08-08 17:55:01,"day",22.3333333333333
"6",27.75,9.14750579499757,1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-09 03:32:24.500688,2023-08-08 17:55:01,"day",22.3333333333333
"7",0.682926829268293,9.46078126576501,1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-09 11:03:31.501362,2023-08-08 17:55:01,"day",22.3333333333333
"8",13.8421052631579,9.46553472319783,1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-09 11:10:22.200084,2023-08-08 17:55:01,"day",22.3333333333333
"9",29.9090909090909,9.47180363855536,1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-09 11:19:23.834371,2023-08-08 17:55:01,"day",22.3333333333333
"10",-660,9.48388029170257,-1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-09 11:36:47.257203,2023-08-08 17:55:01,"day",22.3333333333333
"11",NA,9.67928163768517,NA,272,"2","flupyradifurone","2_flupyradifurone",2023-08-09 16:18:09.933496,2023-08-08 17:55:01,"day",22.3333333333333
"1",43,8.75144855164888,1,271,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:02:05.154862,2023-08-08 17:55:01,"day",22.3333333333333
"2",139.4,8.79232061071574,1,271,"2","flupyradifurone","2_flupyradifurone",2023-08-08 19:00:56.500766,2023-08-08 17:55:01,"day",22.3333333333333
"3",76.4,9.54298164248291,1,271,"2","flupyradifurone","2_flupyradifurone",2023-08-09 13:01:53.61391,2023-08-08 17:55:01,"day",22.3333333333333
"4",NA,9.55562401392394,NA,271,"2","flupyradifurone","2_flupyradifurone",2023-08-09 13:20:05.914803,2023-08-08 17:55:01,"day",22.3333333333333
"1",535.5,8.75322416829474,1,270,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:04:38.568141,2023-08-08 17:55:01,"day",22.3333333333333
"1",18,8.75623820152425,1,269,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:08:58.980612,2023-08-08 17:55:01,"day",22.3333333333333
"2",-453,8.77048899627762,-1,269,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:29:30.249278,2023-08-08 17:55:01,"day",22.3333333333333
"3",214,8.78069617054087,1,269,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:44:12.149135,2023-08-08 17:55:01,"day",22.3333333333333
"1",232.75,8.76167720458518,1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:16:48.910476,2023-08-08 17:55:01,"day",22.3333333333333
"2",NA,8.76981115683913,NA,273,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:28:31.683951,2023-08-08 17:55:01,"day",22.3333333333333
"3",-75,8.79542184285719,-1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-08 19:05:24.447223,2023-08-08 17:55:01,"day",22.3333333333333
"4",1.78947368421053,8.80021906795739,1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-08 19:12:18.927472,2023-08-08 17:55:01,"day",22.3333333333333
"5",-32.1,8.80506122749161,-1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-08 19:19:17.290055,2023-08-08 17:55:01,"day",22.3333333333333
"6",16,8.82578490186805,1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-08 19:49:07.815521,2023-08-08 17:55:01,"day",22.3333333333333
"7",269,8.83505634690968,1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-08 20:02:28.868373,2023-08-08 17:55:01,"day",22.3333333333333
"8",46.5833333333333,8.83670938907525,1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-08 20:04:51.691216,2023-08-08 17:55:01,"day",22.3333333333333
"9",-2,8.8492727007948,-1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-08 20:22:57.161349,2023-08-08 17:55:01,"day",22.3333333333333
"10",208.333333333333,8.85283425480403,1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-08 20:28:04.879615,2023-08-08 17:55:01,"day",22.3333333333333
"11",56.8888888888889,8.85837876644455,1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-08 20:36:03.925421,2023-08-08 17:55:01,"day",22.3333333333333
"12",134.5,8.86295681442192,1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-08 20:42:39.468766,2023-08-08 17:55:01,"day",22.3333333333333
"13",76,8.87845002557427,1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-08 21:04:58.08221,2023-08-08 17:55:01,"day",22.3333333333333
"14",-4.33333333333333,9.47656412311147,-1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-09 11:26:15.140237,2023-08-08 17:55:01,"day",22.3333333333333
"15",NA,9.50572069735991,NA,273,"2","flupyradifurone","2_flupyradifurone",2023-08-09 12:08:14.268252,2023-08-08 17:55:01,"day",22.3333333333333
"16",98,9.53952833574035,1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-09 12:56:55.248208,2023-08-08 17:55:01,"day",22.3333333333333
"17",NA,9.55958371290454,NA,273,"2","flupyradifurone","2_flupyradifurone",2023-08-09 13:25:48.032795,2023-08-08 17:55:01,"day",22.3333333333333
"18",91.5,9.67916962168927,1,273,"2","flupyradifurone","2_flupyradifurone",2023-08-09 16:18:00.255314,2023-08-08 17:55:01,"day",22.3333333333333
"1",99,8.7761008389168,1,277,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:37:35.112482,2023-08-08 17:55:01,"day",22.3333333333333
"2",187.5,8.77894189548989,1,277,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:41:40.57977,2023-08-08 17:55:01,"day",22.3333333333333
"3",-68.2,8.8837806976306,-1,277,"2","flupyradifurone","2_flupyradifurone",2023-08-08 21:12:38.652275,2023-08-08 17:55:01,"day",22.3333333333333
"4",53.4,9.09347509449601,1,277,"2","flupyradifurone","2_flupyradifurone",2023-08-09 02:14:36.248164,2023-08-08 17:55:01,"day",22.3333333333333
"5",82.6,9.1631461798671,1,277,"2","flupyradifurone","2_flupyradifurone",2023-08-09 03:54:55.829941,2023-08-08 17:55:01,"day",22.3333333333333
"6",NA,9.238377748714,NA,277,"2","flupyradifurone","2_flupyradifurone",2023-08-09 05:43:15.837489,2023-08-08 17:55:01,"day",22.3333333333333
"7",107.333333333333,9.50261904479798,1,277,"2","flupyradifurone","2_flupyradifurone",2023-08-09 12:03:46.28547,2023-08-08 17:55:01,"day",22.3333333333333
"8",-22.875,9.50466910423964,-1,277,"2","flupyradifurone","2_flupyradifurone",2023-08-09 12:06:43.410606,2023-08-08 17:55:01,"day",22.3333333333333
"9",89.4,9.52580854651603,1,277,"2","flupyradifurone","2_flupyradifurone",2023-08-09 12:37:09.858419,2023-08-08 17:55:01,"day",22.3333333333333
"10",35.1428571428571,9.57406445149884,1,277,"2","flupyradifurone","2_flupyradifurone",2023-08-09 13:46:39.16861,2023-08-08 17:55:01,"day",22.3333333333333
"1",108.333333333333,8.78096383072919,1,279,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:44:35.274975,2023-08-08 17:55:01,"day",22.3333333333333
"2",48.25,9.55059431597922,1,279,"2","flupyradifurone","2_flupyradifurone",2023-08-09 13:12:51.348901,2023-08-08 17:55:01,"day",22.3333333333333
"3",-425,9.60616634327596,-1,279,"2","flupyradifurone","2_flupyradifurone",2023-08-09 14:32:52.772059,2023-08-08 17:55:01,"day",22.3333333333333
"1",21.2173913043478,8.81242776573984,1,275,"2","flupyradifurone","2_flupyradifurone",2023-08-08 19:29:53.75896,2023-08-08 17:55:01,"day",22.3333333333333
